PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50,EC50 activity comment,EC50 standard flag,EC50 qualifier,EC50 published value,EC50 standard value
RESULT_TYPE,,,,,,,FLOAT,STRING,INTEGER,STRING,FLOAT,FLOAT
RESULT_DESCR,,,,,,,EC50 PubChem standard value,EC50 activity comment,EC50 standard flag,EC50 qualifier,EC50 published value,EC50 standard value
RESULT_UNIT,,,,,,,MICROMOLAR,,,,MICROMOLAR,NANOMOLAR
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103168628,868031,Active,,,,0.09,,,=,0.09,90
2,103512102,9943898,Active,,,,0.12,,,=,0.12,120
3,103512138,2844720,Active,,,,0.22,,,=,0.22,220
4,103512178,2844723,Active,,,,0.03,,,=,0.03,30
5,103621397,1068724,Active,,,,0.11,,,=,0.11,110
6,164138917,2558390,Active,,,,0.44,,,=,0.44,440
7,194140161,2598197,Unspecified,,,,10,,,>,10,10000
8,194140162,1255057,Active,,,,2.44,,,=,2.44,2440
9,194140163,3548222,Active,,,,0.11,,,=,0.11,110
10,194147017,6457730,Active,,,,1.31,,,=,1.31,1310
11,194147018,8822420,Active,,,,0.51,,,=,0.51,510
12,194147912,669092,Active,,,,4.13,,,=,4.13,4130
13,194147927,2997481,Active,,,,0.68,,,=,0.68,680
14,194153864,2995016,Active,,,,0.45,,,=,0.45,450
15,194153865,76318001,Active,,,,0.22,,,=,0.22,220
16,194154871,1069778,Active,,,,0.69,,,=,0.69,690
17,194154889,2964934,Active,,,,0.41,,,=,0.41,410
18,194154912,687221,Active,,,,3.77,,,=,3.77,3770
19,194154924,684756,Active,,,,0.53,,,=,0.53,530
20,194160863,3548217,Active,,,,0.45,,,=,0.45,450
21,194160864,1010103,Active,,,,0.17,,,=,0.17,170
22,194161841,670038,Active,,,,2.33,,,=,2.33,2330
23,194167776,4087899,Active,,,,0.24,,,=,0.24,240
24,194168792,1473035,Active,,,,1.32,,,=,1.32,1320
25,194174597,3154939,Active,,,,0.17,,,=,0.17,170
26,194174598,3335915,Active,,,,3.24,,,=,3.24,3240
27,194174599,6459108,Active,,,,1.52,,,=,1.52,1520
28,194181479,2989644,Active,,,,0.15,,,=,0.15,150
29,194181480,2844716,Active,,,,0.14,,,=,0.14,140
30,194182389,795936,Active,,,,3.13,,,=,3.13,3130
31,194188329,25664514,Active,,,,0.65,,,=,0.65,650
32,194188330,6457789,Active,,,,2.24,,,=,2.24,2240
33,194188331,2997445,Active,,,,1.02,,,=,1.02,1020
34,194188332,2877569,Active,,,,0.03,,,=,0.03,30
35,194188333,38575305,Active,,,,0.27,,,=,0.27,270
