PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,Hill_Slope,S0_(%),Sinf_(%),Num_Points,Max_Activity_(%),Max_Activity_Conc_uM,Max_Concentration_uM,Activity_at_0.00024uM_(%),Activity_at_0.0005uM_(%),Activity_at_0.001uM_(%),Activity_at_0.00195uM_(%),Activity_at_0.0038uM_(%),Activity_at_0.008uM_(%),Activity_at_0.016uM_(%),Activity_at_0.03uM_(%),Activity_at_0.038uM_(%),Activity_at_0.08uM_(%),Activity_at_0.16uM_(%),Activity_at_0.3uM_(%),Activity_at_0.6uM_(%),Activity_at_1.2uM_(%),Activity_at_2.6uM_(%),Activity_at_5uM_(%)
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,0.00024,0.0005,0.001,0.00195,0.0038,0.008,0.016,0.03,0.038,0.08,0.16,0.3,0.6,1.2,2.6,5
1,842151,644407,Active,54,,,=,3.819,5.418,1.58,14.855,-100,13,-47.363,5,5,,,,,,,,,13.18,2.555,9.641,16.372,40.305,10.835,-39.572,-47.363
2,842478,644742,Active,58,,,=,1.528,5.816,2.968,13.25,-50.137,13,-48.971,5,5,,,,,,,,,6.979,8.41,17.348,26.252,62.721,-8.404,-38.256,-48.971
3,842526,644796,Active,65,,,=,0.314,6.504,1.255,0,-81.679,16,-81.456,5,5,,,,,,,,,-10.334,-6.998,-24.001,-42.615,-57.522,-65.838,-75.296,-81.456
4,843741,646043,Active,66,,,=,0.275,6.56,1.336,120.658,-93.044,16,-88.157,5,5,,,,,,,,,104.95,90.292,46.153,11.301,-39.571,-64.872,-84.336,-88.157
5,847444,649849,Active,66,,,=,0.28,6.552,1.272,163.967,-86.033,16,-91.105,5,5,,,,,,,,,147.617,129,81.672,22.343,-2.4,-48.379,-76.896,-91.105
6,848056,650480,Active,61,,,=,0.826,6.083,1.437,5.14,-59.578,15,-53.67,5,5,,,,,,,,,5.296,-1.201,9.971,-8.233,-22.864,-31.605,-52.503,-53.67
7,855810,6364669,Active,74,,,=,0.04,7.398,2.344,0,-87.893,16,-92.909,2.6,5,,,,,,,,,-40.81,-75.18,-82.315,-84.388,-85.577,-87.396,-92.909,-89.208
8,855836,6603320,Active,70,,,=,0.093,7.032,2.465,0,-84.016,16,-92.854,5,5,,,,,,,,,4.252,-41.771,-65.641,-70.404,-77.237,-80.853,-91.663,-92.854
9,856344,657713,Active,62,,,=,0.614,6.212,2.702,9.203,-74.119,15,-72.491,2.6,5,,,,,,,,,6.637,14.649,17.554,-6.607,-26.652,-67.046,-72.491,-71.329
10,856525,657882,Active,63,,,=,0.556,6.255,1.888,146.65,-82.493,16,-83.821,5,5,,,,,,,,,119.179,165.092,135.774,84.849,19.466,-30.889,-69.685,-83.821
11,857056,658411,Active,63,,,=,0.536,6.271,3.381,25,-28.678,13,-31.524,2.6,5,,,,,,,,,23.45,42.967,51.787,15.029,-5.096,-37.954,-31.524,-25.946
12,857381,617210,Active,63,,,=,0.485,6.314,1.848,86.845,-82.872,16,-86.577,5,5,,,,,,,,,65.982,105.138,64.664,35.326,-16.9,-51.816,-71.385,-86.577
13,858166,6885082,Active,66,,,=,0.226,6.646,2.33,0,-89.952,16,-95.055,5,5,,,,,,,,,23.243,3.204,-38.544,-56.961,-75.519,-84.896,-92.71,-95.055
14,858305,1907983,Active,66,,,=,0.233,6.633,1.236,164.59,-92.114,16,-86.827,5,5,,,,,,,,,139.144,111.634,66.222,13.938,-29.914,-61.427,-80.119,-86.827
15,858954,660258,Active,65,,,=,0.351,6.455,1.695,137.262,-83.087,16,-88.415,5,5,,,,,,,,,125.094,122.603,107.103,26.455,-20.374,-44.858,-76.893,-88.415
16,861400,5389565,Active,67,,,=,0.206,6.687,4,17.833,-70.376,16,-72.506,5,5,,,,,,,,,7.14,27.464,-6.194,-55.558,-69.19,-69.966,-68.091,-72.506
17,861731,662965,Active,64,,,=,0.395,6.403,2.901,0,-70.328,14,-74.756,5,5,,,,,,,,,-4.557,6.002,40.949,-21.358,-56.728,-59.787,-71.387,-74.756
18,861918,663143,Inactive,0,,,,,,,-26.311,-26.311,16,-51.397,0.16,5,,,,,,,,,50.741,-44.542,-51.397,-34.049,-14.569,-29.888,-48.682,-38.098
19,864370,665618,Active,60,,,=,0.986,6.006,3.665,10.655,-57.817,14,-61.661,2.6,5,,,,,,,,,-5.36,19.733,18.481,38.556,-0.384,-33.989,-61.661,-52.789
20,3711421,6603514,Active,67,,,=,0.21,6.679,1.634,105.063,-89.646,16,-92.095,5,5,,,,,,,,,91.493,74.611,30.976,-27.081,-54.517,-76.421,-86.805,-92.095
21,3714169,2347892,Active,74,,,=,0.044,7.358,0.527,0,-107.624,16,-97.33,5,5,,,,,,,,,-55.768,-57.851,-68.205,-80.753,-88.364,-93.533,-96.386,-97.33
22,3714284,2998738,Active,65,,,=,0.296,6.528,1.271,95.64,-93.857,16,-88.193,5,5,,,,,,,,,81.895,67.452,34.444,0.136,-37.403,-67.763,-82.92,-88.193
23,4243251,1516852,Active,64,,,=,0.372,6.43,1.267,155.243,-91.457,16,-82.886,5,5,,,,,,,,,141.339,127.08,87.654,54.255,-10.293,-41.641,-73.167,-82.886
24,4249772,2166675,Active,67,,,=,0.21,6.677,1.419,137.462,-89.977,16,-92.403,5,5,,,,,,,,,114.036,100.219,44.774,-14.527,-37.291,-73.773,-80.899,-92.403
25,4251194,66541,Active,69,,,=,0.135,6.868,4,25,-100,16,-98.032,2.6,5,,,,,,,,,24.357,21.034,-61.736,-94.967,-96.703,-97.391,-98.032,-97.231
26,4254515,972733,Active,71,,,=,0.082,7.088,0.923,0,-75.462,16,-74.778,2.6,5,,,,,,,,,-27.794,-36.096,-43.724,-61.795,-67.129,-69.477,-74.778,-70.23
27,4254571,2200749,Active,62,,,=,0.696,6.157,1.812,76.166,-76.944,15,-78.413,5,5,,,,,,,,,54.475,76.367,72.095,58.055,-5.37,-25.582,-60.828,-78.413
28,4256991,892017,Active,69,,,=,0.14,6.854,0.923,194.515,-105.485,16,-92.832,5,5,,,,,,,,,129.728,75.353,37.876,-6.042,-42.305,-67.754,-91.228,-92.832
29,4257840,976709,Active,63,,,=,0.486,6.313,1.443,63.453,-88.445,16,-86.04,5,5,,,,,,,,,60.918,53.126,32.724,20.052,-27.949,-56.712,-71.696,-86.04
30,4259106,900740,Inactive,0,,,,,,,19.126,19.126,13,46.299,5,5,,,,,,,,,3.587,18.001,16.823,13.653,25.245,13.349,29.287,46.299
31,4259110,2980758,Active,55,,,=,2.895,5.538,2.508,12.199,-100,15,-64.726,5,5,,,,,,,,,2.943,7.218,10.83,12.235,37.001,19.027,-51.254,-64.726
32,4261260,892370,Active,62,,,=,0.573,6.242,1.28,117.497,-100,16,-85.178,5,5,,,,,,,,,107.743,102.832,86.212,50.108,1.948,-36.8,-72.801,-85.178
33,4261905,2202737,Active,62,,,=,0.582,6.235,2.38,11.188,-77.423,16,-88.46,5,5,,,,,,,,,8.627,11.886,8.364,-4.16,-33.904,-68.434,-59.733,-88.46
34,4262527,926663,Active,68,,,=,0.158,6.801,1.305,134.614,-93.527,16,-92.796,5,5,,,,,,,,,101.234,74.133,16.17,-28.486,-53.787,-77.435,-88.759,-92.796
35,4265004,894322,Active,61,,,=,0.873,6.059,2,50.502,-67.897,14,-64.634,5,5,,,,,,,,,43.286,56.237,88.665,39.535,10.449,-25.586,-56.147,-64.634
36,7964734,835162,Active,65,,,=,0.284,6.547,1.554,84.868,-100,16,-94.388,5,5,,,,,,,,,78.382,54.595,44.597,-20.525,-58.922,-75.45,-90.894,-94.388
37,7964790,5307230,Active,66,,,=,0.226,6.647,4,25,-56.848,16,-59.432,1.2,5,,,,,,,,,29.447,53.057,26.621,-55.156,-45.857,-59.432,-53.428,-58.47
38,7965285,993259,Active,63,,,=,0.56,6.252,2,114.627,-58.907,16,-56.208,5,5,,,,,,,,,99.604,101.966,125.586,89.171,3.503,-22.144,-53.157,-56.208
