PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REPRODUCIBILITY_COSINE_TRANSFORM,REPLICATE_A_ACTIVITY_SCORE_2.5uM_(%),REPLICATE_B_ACTIVITY_SCORE_2.5uM_(%)
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,"A measure of how well the activity reproduced across the two samples. Computed as the absolute value of the cosine between the 'replicate vector' (ScoreA, ScoreB ---as well as  ScoreC and/or ScoreD where applicable) and the vector (1, 1) representing perfect reproducibility. NULL will appear in this column if a sample was not run in duplicate or if the data produced by one of the replicates was Invalid_|_ ",The calculated activity for the indicated sample,The calculated activity for the indicated sample
RESULT_UNIT,,,,,,,NONE,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,2.5,2.5
1,842151,644407,Active,85,,,1,82.75,85.32
2,842478,644742,Active,89,,,1,88.92,84.04
3,842526,644796,Active,70,,,1,70.04,68.96
4,843741,646043,Active,73,,,0.998,73.47,65.28
5,845908,54686772,Inactive,-1,,,0.721,-0.2865,-14.6
6,847083,6602558,Inactive,11,,,0.078,-12.57,10.75
7,847444,649849,Active,77,,,1,72.86,77.42
8,848056,650480,Active,70,,,0.997,69.71,59.81
9,850194,652705,Inactive,-2,,,0.773,-1.105,-11.23
10,850927,626848,Inactive,8,,,0.868,2.262,8.305
11,855532,5744,Inactive,-12,,,0.987,-11.12,-15.4
12,855797,92173,Inactive,21,,,0.664,21.17,-1.263
13,855810,6364669,Active,90,,,1,89.28,89.98
14,855836,6603320,Active,96,,,1,95.58,91.13
15,855949,107342,Inactive,-12,,,0.997,-13.88,-11.81
16,856344,657713,Active,94,,,0.997,81.66,94.41
17,856525,657882,Active,90,,,1,87.39,90.17
18,857056,658411,Active,90,,,1,90.42,87.57
19,857381,617210,Active,68,,,0.999,61.22,67.84
20,858166,6885082,Active,92,,,1,92.06,90.17
21,858305,1907983,Active,63,,,1,62.92,60.43
22,858573,659881,Inactive,6,,,0.542,5.772,-26.75
23,858828,5389217,Inactive,4,,,0.356,3.561,-7.952
24,858954,660258,Active,65,,,1,63.4,64.72
25,859105,5389248,Inactive,1,,,0.672,0.9415,-19.52
26,860618,661897,Inactive,40,,,0.996,39.75,33.01
27,861400,5389565,Active,91,,,1,89.15,90.66
28,861731,662965,Active,82,,,0.998,82.42,72.52
29,861918,663143,Active,92,,,0.999,84.72,92.19
30,863082,597482,Inactive,-14,,,0.939,-28.94,-13.45
31,863881,665133,Inactive,12,,,0.322,-24.46,12.05
32,864370,665618,Active,85,,,1,84.94,83.45
33,864509,5389963,Inactive,14,,,0.027,-13.53,14.27
34,865328,666582,Inactive,4,,,0.357,-10.03,4.482
35,866025,667286,Inactive,5,,,0.442,5.08,-14.96
36,866055,667316,Inactive,46,,,0.869,12.57,45.73
37,3711421,6603514,Active,87,,,1,82.68,86.88
38,3712232,2673126,Inconclusive,53,,,0.993,53.26,41.9
39,3713758,2127567,Inactive,-5,,,0.783,-4.783,-41.91
40,3713944,2102349,Inactive,36,,,1,35.24,36
41,3714169,2347892,Active,96,,,1,95.5,95.66
42,3714284,2998738,Active,79,,,1,79.01,75.66
43,3714707,2529544,Inactive,2,,,0.646,-27.14,2.265
44,3715644,736314,Inconclusive,56,,,0.98,55.75,36.87
45,3716374,2112794,Inconclusive,63,,,0.955,62.55,32.87
46,3717070,1540545,Active,64,,,1,63.56,64.41
47,4242259,3237137,Inactive,31,,,1,30.9,29.06
48,4243251,1516852,Active,64,,,1,63.96,64.18
49,4243252,3237997,Inactive,-6,,,0.996,-6.934,-5.779
50,4243980,3238641,Active,94,,,1,94.02,93.25
51,4245714,3240153,Inactive,23,,,0.615,22.96,-2.843
52,4246650,3240968,Inconclusive,55,,,0.977,55.46,35.59
53,4247638,3241821,Inactive,8,,,0.467,8.233,-26.66
54,4247657,3241837,Inactive,1,,,0.653,-18.13,1.339
55,4248821,3242847,Inconclusive,55,,,0.987,39.58,54.8
56,4249452,3243404,Inactive,4,,,0.316,4.116,-8.228
57,4249564,3243500,Inactive,4,,,0.518,4.019,-16.36
58,4249680,3243601,Inactive,-7,,,0.893,-6.266,-18.94
59,4249772,2166675,Active,87,,,1,86.97,83
60,4249806,3243704,Inactive,0,,,0.701,-26.73,0.241
61,4250400,3244219,Inactive,-5,,,0.825,-4.709,-25.22
62,4251194,66541,Active,98,,,1,97.46,97.78
63,4254515,972733,Active,78,,,1,75.73,78.05
64,4254571,2200749,Active,73,,,1,69.88,73.31
65,4254698,5738574,Inactive,-12,,,0.948,-22.28,-11.06
66,4254716,893238,Inconclusive,50,,,0.997,42.65,50.44
67,4255467,2981302,Inactive,-14,,,0.963,-13.15,-23.46
68,4255794,598633,Inactive,-4,,,0.773,-35.88,-3.541
69,4255902,891145,Active,95,,,1,94.54,94.57
70,4256700,1085003,Inactive,-8,,,0.97,-12.91,-7.741
71,4256991,892017,Active,85,,,1,83.73,85.31
72,4257274,2224568,Inactive,-4,,,0.749,-64.34,-3.911
73,4257840,976709,Active,79,,,0.999,79.31,74.28
74,4258506,2204057,Inactive,-7,,,0.817,-6.967,-40.59
75,4258579,2950423,Active,54,,,1,52.84,54.41
76,4259056,952495,Inactive,4,,,0.149,-3.004,4.07
77,4259106,900740,Active,92,,,0.994,91.9,73.98
78,4259110,2980758,Active,85,,,0.998,74.19,85.46
79,4259435,878147,Inconclusive,70,,,0.478,-20.65,70
80,4261260,892370,Active,71,,,1,70.84,69.06
81,4261716,893460,Active,93,,,1,93.29,92.19
82,4261905,2202737,Active,80,,,1,79.78,80.14
83,4262527,926663,Active,88,,,1,84.94,88.43
84,4262537,2977853,Inactive,-9,,,0.935,-8.337,-18.52
85,4263122,584778,Active,86,,,1,85.67,81.11
86,4263857,2968490,Inactive,-30,,,0.994,-29.1,-36.1
87,4265004,894322,Active,89,,,1,89.02,86.76
88,7964734,835162,Active,89,,,1,89.03,87.37
89,7964790,5307230,Active,82,,,0.999,76.42,81.78
90,7965023,5307372,Inactive,-20,,,0.998,-22.35,-19.87
