PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.0195uM_(%)_TEST1,Activity_at_0.038uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.16uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_1.2uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.0195uM_(%)_TEST2,Activity_at_0.038uM_(%)_TEST2,Activity_at_0.08uM_(%)_TEST2,Activity_at_0.16uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.2uM_(%)_TEST2,Activity_at_2.6uM_(%)_TEST2,Activity_at_5uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,ACTIVITY_OUTCOME_TEST3,ACTIVITY_SCORE_TEST3,ASSAYDATA_COMMENT_TEST3,AC50_Qualifier_TEST3,AC50_uM_TEST3,pAC50_M_TEST3,Hill_Slope_TEST3,S0_(%)_TEST3,Sinf_(%)_TEST3,Num_Points_TEST3,Max_Activity_(%)_TEST3,Max_Activity_Conc_uM_TEST3,Max_Concentration_uM_TEST3,Activity_at_0uM_(%)_TEST3,Activity_at_0.000010uM_(%)_TEST3,Activity_at_0.000020uM_(%)_TEST3,Activity_at_0.000030uM_(%)_TEST3,Activity_at_0.000040uM_(%)_TEST3,Activity_at_0.000060uM_(%)_TEST3,Activity_at_0.000080uM_(%)_TEST3,Activity_at_0.00012uM_(%)_TEST3,Activity_at_0.00015uM_(%)_TEST3,Activity_at_0.00024uM_(%)_TEST3,Activity_at_0.0003uM_(%)_TEST3,Activity_at_0.0005uM_(%)_TEST3,Activity_at_0.0006uM_(%)_TEST3,Activity_at_0.001uM_(%)_TEST3,Activity_at_0.0012uM_(%)_TEST3,Activity_at_0.00195uM_(%)_TEST3,Activity_at_0.00235uM_(%)_TEST3,Activity_at_0.0038uM_(%)_TEST3,Activity_at_0.005uM_(%)_TEST3,Activity_at_0.008uM_(%)_TEST3,Activity_at_0.01uM_(%)_TEST3,Activity_at_0.016uM_(%)_TEST3,Activity_at_0.0195uM_(%)_TEST3,Activity_at_0.03uM_(%)_TEST3,Activity_at_0.038uM_(%)_TEST3,Activity_at_0.06uM_(%)_TEST3,Activity_at_0.08uM_(%)_TEST3,Activity_at_0.12uM_(%)_TEST3,Activity_at_0.16uM_(%)_TEST3,Activity_at_0.26uM_(%)_TEST3,Activity_at_0.3uM_(%)_TEST3,Activity_at_0.5uM_(%)_TEST3,Activity_at_0.6uM_(%)_TEST3,Activity_at_1.2uM_(%)_TEST3,Activity_at_2.6uM_(%)_TEST3,Activity_at_5uM_(%)_TEST3,Activity_at_19.5uM_(%)_TEST3,ACTIVITY_OUTCOME_TEST4,ACTIVITY_SCORE_TEST4,ASSAYDATA_COMMENT_TEST4,AC50_Qualifier_TEST4,AC50_uM_TEST4,pAC50_M_TEST4,Hill_Slope_TEST4,S0_(%)_TEST4,Sinf_(%)_TEST4,Num_Points_TEST4,Max_Activity_(%)_TEST4,Max_Activity_Conc_uM_TEST4,Max_Concentration_uM_TEST4,Activity_at_0uM_(%)_TEST4,Activity_at_0.000010uM_(%)_TEST4,Activity_at_0.000020uM_(%)_TEST4,Activity_at_0.000030uM_(%)_TEST4,Activity_at_0.000040uM_(%)_TEST4,Activity_at_0.000060uM_(%)_TEST4,Activity_at_0.000080uM_(%)_TEST4,Activity_at_0.00012uM_(%)_TEST4,Activity_at_0.00015uM_(%)_TEST4,Activity_at_0.00024uM_(%)_TEST4,Activity_at_0.0003uM_(%)_TEST4,Activity_at_0.0005uM_(%)_TEST4,Activity_at_0.0006uM_(%)_TEST4,Activity_at_0.001uM_(%)_TEST4,Activity_at_0.0012uM_(%)_TEST4,Activity_at_0.00195uM_(%)_TEST4,Activity_at_0.00235uM_(%)_TEST4,Activity_at_0.0038uM_(%)_TEST4,Activity_at_0.005uM_(%)_TEST4,Activity_at_0.008uM_(%)_TEST4,Activity_at_0.01uM_(%)_TEST4,Activity_at_0.016uM_(%)_TEST4,Activity_at_0.0195uM_(%)_TEST4,Activity_at_0.03uM_(%)_TEST4,Activity_at_0.038uM_(%)_TEST4,Activity_at_0.06uM_(%)_TEST4,Activity_at_0.08uM_(%)_TEST4,Activity_at_0.12uM_(%)_TEST4,Activity_at_0.16uM_(%)_TEST4,Activity_at_0.26uM_(%)_TEST4,Activity_at_0.3uM_(%)_TEST4,Activity_at_0.5uM_(%)_TEST4,Activity_at_0.6uM_(%)_TEST4,Activity_at_1.2uM_(%)_TEST4,Activity_at_2.6uM_(%)_TEST4,Activity_at_5uM_(%)_TEST4,Activity_at_19.5uM_(%)_TEST4
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,,0.0195,0.038,0.08,0.16,0.3,0.6,1.2,2.6,5,19.5,,,,,,,,,,,,,,0.0195,0.038,0.08,0.16,0.3,0.6,1.2,2.6,5,19.5,,,,,,,,,,,,,,0,1e-05,2e-05,3e-05,4e-05,6e-05,8e-05,0.00012,0.00015,0.00024,0.0003,0.0005,0.0006,0.001,0.0012,0.00195,0.00235,0.0038,0.005,0.008,0.01,0.016,0.0195,0.03,0.038,0.06,0.08,0.12,0.16,0.26,0.3,0.5,0.6,1.2,2.6,5,19.5,,,,,,,,,,,,,,0,1e-05,2e-05,3e-05,4e-05,6e-05,8e-05,0.00012,0.00015,0.00024,0.0003,0.0005,0.0006,0.001,0.0012,0.00195,0.00235,0.0038,0.005,0.008,0.01,0.016,0.0195,0.03,0.038,0.06,0.08,0.12,0.16,0.26,0.3,0.5,0.6,1.2,2.6,5,19.5
1,99245574,5303,Inconclusive,0,,,,,,2,69,,=,0.128,6.892,1.5,20,-76.728,108,-82.458,2.6,19.5,18.12,20.796,-12.487,-39.085,-59.935,-65.055,-72.137,-82.458,-78.355,-76.593,3,0,,,,,,,,53,-85.502,19.5,19.5,33.702,13.128,-45.132,-45.926,-31.631,-13.284,-40.179,-66.982,-77.665,-85.502,2,67,,=,0.193,6.714,1.665,3.023,-88.958,116,-89.35,19.5,19.5,2.999,5.226,-1.976,2.703,-4.615,5.919,-1.665,2.508,3.324,0.571,1.673,2.078,-2.096,4.578,3.238,1.258,-0.392,4.75,6.502,8.828,-1.368,6.601,2.949,5.747,5.656,-2.467,-12.278,-37.021,-38.885,-50.459,-63.104,-68.699,-72.446,-80.897,-86.072,-89.025,-89.35,2,64,,=,0.379,6.422,1.343,3.696,-98.388,115,-97.69,19.5,19.5,-1.256,1.024,5.33,4.34,4.132,5.862,-2.827,8.761,-0.951,1.593,1.734,1.551,-2.34,11.828,-0.791,11.174,-6.696,9.247,7.915,14.696,1.387,21.851,4.546,19.411,5.502,-2.236,-7.695,-20.96,-28.547,-33.725,-43.228,-49.035,-55.978,-85.121,-97.255,-97.289,-97.69
2,115950048,2536883,Active,80,,,=,0.028,7.549,2,77,,<,0.02,7.71,0.91,0,-97.972,36,-98.266,2.6,5,-66.365,-77.872,-83.921,-91.374,-94.966,-97.129,-98.01,-98.266,-94.434,,2,73,,=,0.049,7.314,0.87,0,-100.736,18,-98.051,2.6,5,-34.621,-43.954,-57.485,-73.81,-85.569,-92.727,-97.429,-98.051,-94.715,,2,94,,=,0,9.353,0.548,19.963,-100.729,40,-99.804,2.6,5,,3.897,4.464,,-6.789,,-9.694,,-24.825,,-29.885,,-49.263,,-58.495,,-68.666,,-71.384,,-80.469,,-86.604,,-91.592,,-93.833,,-96.796,,-98.02,,-98.79,-99.595,-99.804,-99.689,,2,74,,=,0.044,7.356,1.592,12.353,-99.97,40,-99.741,2.6,5,,-4.073,1.938,,8.881,,10.773,,14.978,,19.697,,18.318,,25.163,,9.387,,14.487,,5.089,,-15.778,,-38.704,,-63.721,,-90.198,,-95.471,,-97.834,-99.405,-99.741,-99.562,
3,115950049,8030390,Active,79,,,=,0.027,7.577,2,77,,<,0.02,7.71,0.5,0,-97.433,36,-95.758,2.6,5,-64.125,-71.502,-76.425,-80.455,-83.197,-88.294,-92.653,-95.758,-91.924,,2,77,,<,0.02,7.71,0.5,0,-92.159,18,-94.048,2.6,5,-64.261,-73.901,-74.922,-77.455,-81.342,-82.838,-90.807,-94.048,-86.272,,2,89,,=,0.001,8.943,0.62,13.037,-95.987,40,-99.165,5,5,,5.003,2.447,,0.4,,1.735,,-6.2,,-25.179,,-25.895,,-43.698,,-58.453,,-67.804,,-76.867,,-76.558,,-79.184,,-83.765,,-87.436,,-91.489,,-95.227,-97.037,-98.213,-99.165,,2,72,,=,0.065,7.187,0.617,-2.09,-105.626,40,-98.49,5,5,,-6.595,-2.996,,-2.677,,-6.612,,-2.916,,-4.995,,-2.894,,-7.718,,-9.848,,-24.885,,-27.861,,-39.2,,-45.93,,-54.218,,-64.376,,-77.721,,-86.243,-91.712,-95.909,-98.49,
4,115950050,5161265,Active,79,,,=,0.017,7.776,2,77,,<,0.02,7.71,1.356,0,-92.439,36,-94.736,2.6,5,-62.812,-80.826,-85.132,-88.277,-90.454,-90.748,-93.142,-94.736,-92.34,,2,76,,=,0.028,7.55,1.186,0,-93.509,18,-94.615,2.6,5,-35.787,-56.9,-70.909,-83.494,-87.573,-91.284,-92.883,-94.615,-91.693,,2,85,,=,0.003,8.53,1.133,11.948,-94.011,40,-97.794,5,5,,16.316,9.321,,7.375,,7.9,,8.613,,7.756,,-1.33,,-14.948,,-36.983,,-57.315,,-72.28,,-82.267,,-86.116,,-89.158,,-91.133,,-93.013,,-93.718,-94.811,-95.733,-97.794,,2,78,,=,0.016,7.801,0.763,-0.863,-90.763,40,-96.289,5,5,,-1.544,-0.719,,-3.629,,-4.894,,-6.252,,-3.067,,-6.525,,-8.989,,-12.407,,-28.078,,-37.19,,-57.533,,-62.71,,-69.209,,-72.781,,-77.622,,-81.669,-85.992,-92.43,-96.289,
5,115950051,5393549,Active,61,,,=,0.875,6.058,2,65,,=,0.326,6.487,0.959,6.174,-92.219,36,-86.1,5,5,1.505,-6.725,-14.905,-26.614,-40.57,-57.169,-71.339,-80.084,-86.1,,2,61,,=,0.762,6.118,1.009,-0.583,-100,18,-86.004,5,5,-2.861,-5.221,-11.038,-16.859,-27.235,-44.888,-62.95,-77.165,-86.004,,2,60,,=,0.896,6.048,1.105,5.164,-100,40,-90.19,5,5,,-1.899,6.844,,5.74,,6.041,,0.8,,3.769,,2.544,,6.069,,8.019,,9.281,,5.784,,3.482,,3.613,,-1.405,,-6.492,,-15.685,,-43.645,-55.178,-68.46,-90.19,,2,58,,=,1.518,5.819,1.3,1.672,-100,40,-86.988,5,5,,1.689,1.756,,2.994,,-5.377,,1.808,,-3.405,,-2.71,,5.066,,1.67,,4.949,,4.005,,1.797,,2.625,,2.938,,0.838,,-10.683,,-28.803,-37.588,-62.518,-86.988,
