PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.000016uM_(%)_TEST1,Activity_at_0.000030uM_(%)_TEST1,Activity_at_0.000060uM_(%)_TEST1,Activity_at_0.00012uM_(%)_TEST1,Activity_at_0.00026uM_(%)_TEST1,Activity_at_0.0005uM_(%)_TEST1,Activity_at_0.001uM_(%)_TEST1,Activity_at_0.0021uM_(%)_TEST1,Activity_at_0.0042uM_(%)_TEST1,Activity_at_0.008uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.035uM_(%)_TEST1,Activity_at_0.068uM_(%)_TEST1,Activity_at_0.135uM_(%)_TEST1,Activity_at_0.26uM_(%)_TEST1,Activity_at_0.5uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_4.2uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.000016uM_(%)_TEST2,Activity_at_0.000030uM_(%)_TEST2,Activity_at_0.000060uM_(%)_TEST2,Activity_at_0.00012uM_(%)_TEST2,Activity_at_0.00026uM_(%)_TEST2,Activity_at_0.0005uM_(%)_TEST2,Activity_at_0.001uM_(%)_TEST2,Activity_at_0.0021uM_(%)_TEST2,Activity_at_0.0042uM_(%)_TEST2,Activity_at_0.008uM_(%)_TEST2,Activity_at_0.016uM_(%)_TEST2,Activity_at_0.035uM_(%)_TEST2,Activity_at_0.068uM_(%)_TEST2,Activity_at_0.135uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,,1.6e-05,3e-05,6e-05,0.00012,0.00026,0.0005,0.001,0.0021,0.0042,0.008,0.016,0.035,0.068,0.135,0.26,0.5,1,2.1,4.2,8,,,,,,,,,,,,,,1.6e-05,3e-05,6e-05,0.00012,0.00026,0.0005,0.001,0.0021,0.0042,0.008,0.016,0.035,0.068,0.135,0.26,0.5,1,2.1,4.2,8
1,115950048,2536883,Active,80,,,=,0.00903,8.044,2,79,,=,0.0121,7.918,0.5,-8.03,-86.15,40,-85.772,4.2,8,-5.413,-7.553,-11.819,-16.785,-21.039,-26.669,-28.726,-33.8,-39.782,-43.281,-49.207,-54.182,-56.91,-63.477,-71.791,-75.625,-78.418,-83.428,-85.772,-83.604,2,82,,=,0.00596,8.225,0.5,1.67,-78.33,40,-77.345,8,8,-4.679,-9.884,-12.148,-14.319,-19.866,-24.874,-30.276,-33.793,-38.616,-40.493,-44.98,-49.89,-50.284,-53.706,-64.367,-61.76,-63.647,-69.002,-74.453,-77.345
2,115950049,8030390,Active,70,,,=,0.101,6.995,2,70,,=,0.105,6.98,0.5,0.879,-85.192,40,-80.154,4.2,8,0.197,0.335,1.257,1.53,-1.828,-5.815,-7.833,-14.392,-16.518,-19.978,-26.027,-30.838,-36.432,-41.886,-49.023,-57.446,-62.426,-70.245,-80.154,-71.814,2,70,,=,0.0971,7.013,0.5,-1.003,-81.003,40,-75.214,4.2,8,-0.336,-1.156,-1.879,-3.234,-3.234,-6.222,-9.493,-15.907,-17.982,-22.365,-23.283,-30.371,-35.769,-42.372,-49.078,-56.02,-62.336,-67.16,-75.214,-68.607
3,115950050,5161265,Active,60,,,=,1.05,5.979,2,67,,=,0.21,6.677,0.586,1.78,-67.056,40,-59.775,4.2,8,0.578,-1.159,3.379,1.193,2.977,-2.667,-0.664,-0.78,-5.675,-8.004,-8.46,-16.758,-22.333,-29.813,-34.445,-38.672,-47.957,-52.225,-59.775,-58.115,2,57,,=,1.89,5.724,0.5,-2.074,-100,40,-60.93,8,8,2.601,-0.094,-1.443,-1.979,-0.387,-1.59,0.197,-4.239,-6.604,-10.466,-13.839,-18.655,-23.959,-29.695,-35.576,-37.407,-45.268,-47.772,-52.646,-60.93
4,115950051,5393549,Inactive,0,,,,,,1,0,,,,,,0.154,0.154,40,-8.524,8,8,-0.346,3.499,0.788,0.609,1.618,2.907,-1.247,1.488,3.302,0.845,4.891,3.044,0.096,0.544,-0.501,0.511,-1.286,-1.958,-7.192,-8.524,1,0,,,,,,-2.241,-2.241,40,-9.74,8,8,-2.268,-1.787,-0.772,-0.14,-0.916,-1.058,-1.3,-2.116,2.268,0.722,0.295,-2.41,-4.094,-2.073,-1.829,-3.713,-3.665,-4.004,-6.225,-9.74
5,115950052,709072,Active,46,,,=,25.78,4.589,2,48,,=,17.46,4.758,0.5,-1.264,-100,40,-30.113,8,8,2.606,-0.791,-1.271,1.209,1.735,-2.923,2.892,1.784,1.403,0.858,-2.871,-6.787,-16.384,-20.072,-23.505,-24.082,-25.283,-25.528,-29.395,-30.113,2,45,,=,34.09,4.467,0.5,-3.791,-100,40,-24.923,1,8,1.157,-2.314,-0.29,-0.576,0.338,-0.768,1.351,-2.65,-0.096,-4.779,-6.459,-8.289,-20.247,-22.463,-20.679,-22.034,-24.923,-23.381,-24.586,-23.48
