PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 13.8 uM,Standard Deviation,Inhibition at 13.8 uM [1],Inhibition at 13.8 uM [2],Inhibition at 13.8 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,13.8,,13.8,13.8,13.8
1,842199,644454,Active,28,,,42.7,3.27105,43.0189,38.5381,46.5309
2,842594,644857,Inactive,9,,,13.59,1.04356,14.4026,12.1158,14.2485
3,842977,645255,Active,24,,,35.94,1.26683,37.3493,34.2757,36.1821
4,843819,646124,Active,21,,,32.06,10.8673,43.4221,17.4177,35.3467
5,843955,646261,Inactive,6,,,10.22,1.61467,12.4658,9.42509,8.75511
6,844003,6603029,Inactive,14,,,21.66,2.49068,25.1724,20.068,19.7263
7,844181,774385,Active,48,,,71.75,1.08278,72.9994,70.3591,71.8974
8,845604,647959,Active,33,,,49.29,4.15041,53.0855,51.2593,43.5112
9,846192,648574,Active,46,,,68.78,2.52976,72.32,67.4355,66.5755
10,846661,649056,Inactive,4,,,6.9,2.17449,4.58254,6.31628,9.811
11,846670,540540,Active,25,,,37.43,3.57994,42.1676,36.6122,33.5141
12,846878,649273,Inactive,1,,,2.21,1.08995,1.19021,1.72137,3.7217
13,847426,600799,Active,58,,,86.5,1.33741,84.696,87.8983,86.8955
14,848283,408543,Active,39,,,57.6,1.37798,55.7478,59.0548,57.9864
15,848619,651072,Active,20,,,30.92,1.47808,32.3303,31.5606,28.8816
16,849611,652110,Active,83,,,123.43,1.25373,124.937,123.492,121.867
17,849655,652152,Active,67,,,99.48,2.70528,97.4824,103.306,97.655
18,850336,652850,Active,17,,,25.74,3.14702,21.3304,28.4484,27.4521
19,850880,653427,Active,36,,,53.47,2.74885,57.3586,51.6186,51.4402
20,850999,653552,Active,81,,,120.36,0.600456,121.196,120.052,119.823
21,851817,654420,Active,81,,,120.54,1.4643,119.063,122.533,120.012
22,852078,654682,Inactive,10,,,15.99,2.34539,13.1562,18.8999,15.922
23,852225,654837,Inactive,10,,,14.96,2.26767,12.0589,17.5946,15.2232
24,853190,2787398,Active,70,,,104.25,1.64477,106.572,102.966,103.212
25,853271,655923,Active,21,,,32.06,3.17216,31.3408,28.5767,36.2478
26,853313,6603444,Inactive,1,,,2.34,0.912016,3.37234,2.50417,1.15565
27,856553,657906,Active,26,,,39.13,1.96391,40.5483,36.3486,40.4803
28,856630,657985,Active,29,,,42.87,1.42352,40.9239,43.411,44.284
29,857403,658747,Active,43,,,63.41,0.964586,63.4413,64.582,62.2197
30,857885,659229,Active,23,,,35.29,4.21248,29.3413,37.9798,38.5477
31,858026,659383,Inactive,8,,,12.72,1.72317,14.8733,12.6251,10.6554
32,858172,659524,Active,75,,,110.95,1.07002,111.2,109.537,112.123
33,858409,659735,Active,51,,,75.47,0.622149,74.8857,76.329,75.1838
34,858469,659784,Active,22,,,33.74,2.51256,31.8744,32.0636,37.2964
35,859518,660816,Active,41,,,61.08,3.85504,58.5087,66.5288,58.202
36,859984,661296,Active,59,,,87.63,3.13143,91.8959,86.5365,84.464
37,860132,661441,Active,83,,,123.46,0.821941,123.23,122.582,124.557
38,860272,661576,Active,24,,,35.37,1.14553,35.4381,36.7358,33.9324
39,860375,661670,Active,60,,,88.72,0.766903,89.7644,88.4648,87.9399
40,860707,5389427,Active,37,,,55.1,0.595852,55.7465,55.2531,54.3102
41,860763,662038,Inactive,0,,,-1.97,1.2384,-2.59393,-3.07797,-0.242568
42,861077,662346,Active,40,,,59.01,2.75761,55.357,59.6594,62.0178
43,861428,5389570,Active,44,,,65.23,1.91628,65.5306,67.4148,62.7496
44,861555,662802,Active,19,,,28.82,0.450355,29.4119,28.3186,28.738
45,861648,662886,Active,51,,,75.72,1.59643,75.3763,73.9661,77.8299
46,861727,5389617,Active,62,,,92.12,2.22334,92.8927,89.0966,94.3765
47,862067,5389679,Inactive,2,,,3.33,1.81736,4.52413,0.764399,4.70846
48,862153,663378,Active,31,,,46.89,2.52949,48.8981,43.325,48.4563
49,862436,663661,Active,17,,,26.43,1.55693,28.4052,24.6005,26.2762
50,862514,663743,Active,18,,,27.73,2.84024,31.7421,25.6097,25.8305
51,862725,6603430,Active,18,,,27.19,1.2356,25.4405,28.1348,27.9817
52,862844,664077,Inactive,15,,,22.29,4.49046,27.3141,23.1329,16.4128
53,863268,664514,Inactive,13,,,19.21,1.28958,20.5662,19.5881,17.476
54,863382,664636,Active,20,,,30.18,1.56527,31.1489,31.4262,27.9758
55,863429,664681,Inactive,13,,,20.45,2.00364,20.0722,18.2029,23.0675
56,864601,665843,Active,32,,,47.44,3.24737,50.1521,42.8747,49.2944
57,865590,666849,Inactive,0,,,-2.09,2.64796,1.63833,-3.62974,-4.27265
58,865790,5390073,Inactive,13,,,20.04,0.694495,19.0587,20.5237,20.54
59,3711652,2997718,Inactive,12,,,17.92,7.71161,11.2235,28.7251,13.8196
60,3711679,2083748,Inactive,3,,,5.71,4.43143,11.4279,5.07386,0.629229
61,3712857,2088635,Active,45,,,67.48,4.69936,72.309,69.0295,61.1135
