pubchem_cid	smiles	cluster
658040	C1=CC=C(C=C1)C(=O)CN2C(=O)C3=CC=CC=C3S2(=O)=O	10
9633426	C1=CC=NC(=C1)/C(=N/OC(=O)C2=C(C=C(C=C2)[N+](=O)[O-])Cl)/N	568
5349700	CCCC1=CC=C(C=C1)C(=O)O/N=C(/C2=CC=CC=N2)\N	568
24214213	COC1=CC=CC(=C1OC)C(=O)O/N=C(/C2=CC=CC=N2)\N	568
853490	COC1=C(C=C(C=C1)Cl)C(=O)NC2=NC3=CC=CC=C3N2	613
2081294	COC1=CC=C(C=C1)C(=O)NC2=NC3=CC=CC=C3N2	613
2162753	CC1=CC=C(C=C1)C(=O)NC2=NC3=CC=CC=C3N2	613
2583506	CC(C)OC1=CC=C(C=C1)C(=O)NC2=NC3=CC=CC=C3N2	613
2583738	CCC1=CC=C(C=C1)C(=O)NC2=NC3=CC=CC=C3N2	613
9593459	COC1=CC=C(C=C1)C(=O)O/N=C(/C2=CC=CC=N2)\N	568
9587353	CC1=C(C=C(C=C1)C(=O)O/N=C(/C2=CC=CC=N2)\N)C	568
9567018	COC1=CC=CC(=C1)C(=O)O/N=C(/C2=CC=CC=N2)\N	568
5349753	CCOC1=CC=C(C=C1)C(=O)O/N=C(/C2=CC=CC=N2)\N	568
9689721	CC1=CC=CC(=C1)C(=O)O/N=C(/C2=CC=CC=N2)\N	568
8272034	C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)CC(=O)C3=C(C=C(C=C3)Cl)Cl	10
7560362	C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)CC(=O)C3=CC(=C(C=C3)F)F	10
7560390	C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)CC(=O)C3=CC(=CC=C3)Br	10
7560383	C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)CC(=O)C3=CC=C(C=C3)OC(F)F	10
